SaleID,ProductID,CustomerID,SalesAmount,Quantity,Timestamp
c0078cd1-3ddc-439a-b41d-7498e8e75e62,1020,C0460,1639.1,18,2024-08-09T20:21:00
be8532af-16b7-432c-a13d-4c6e6836d12d,1029,C0198,186.11,42,2024-11-28T05:01:00
8666f277-cc58-4fde-9d58-697da9e040f2,1012,C0524,1712.72,49,2024-10-13T00:36:00
383e0a2b-7e00-454e-a269-b2f73ecd33f2,1016,C0285,,50,2024-07-06T23:39:00
d9a7f974-9572-48dd-aa36-3f96b280dfc7,1021,C0369,66.36,21,2024-06-08T19:58:00
d71733ac-4fc4-42e6-ae48-c2150c8a92ae,1016,C0709,1705.51,31,2024-11-15T12:24:00
b7475afb-27f7-46fe-8bcd-c099c178d17f,1047,C0929,1509.94,3,2024-08-28T05:43:00
f5953c0c-e9bc-489a-9333-1e0c0a81d873,1027,C0019,1635.15,,2024-08-30T19:07:00
427c33bb-dff7-4332-8d29-954728c713b1,1020,C0983,1070.59,31,2024-10-22T15:17:00
812ad61f-2e80-4b95-ae02-a91976bd2baa,1006,C0536,1097.0,2,2024-06-20T09:59:00
a18dadb3-b2e6-476e-b2fb-b4a477721bf0,1005,C0164,683.83,38,2024-11-15T09:33:00
fb7031b8-6ea9-48f1-9a00-9bc178359f8d,1017,C0955,1187.22,26,2024-07-07T00:55:00
16380106-881a-4b17-b7a6-cdb1cb7b0310,1046,C0102,1660.55,37,2024-06-10T20:40:00
3b8b6be3-3531-4e99-bb88-f690abf80831,1039,C0246,1285.76,12,2024-10-31T22:31:00
1c2ea051-0ea9-4464-9328-f005529e49b0,1044,C0231,580.56,2,2024-10-30T09:54:00
385f4dc3-93d8-4aea-9448-9ae392f1c70f,1012,C0266,1729.19,38,2024-09-22T19:51:00
65286b1d-53a6-4935-a98a-1cb1876e571e,1018,C0558,1700.77,44,2024-09-28T12:04:00
a71af1cd-5827-45bc-9819-7b822084b056,1004,C0267,1685.47,20,2024-07-29T14:48:00
